"","Age","Height","Weight"
"445",19,66.9291338582677,119.04948
"446",20,61.8110236220472,94.79866
"448",26,64.1732283464567,121.2541
"449",19,66.1417322834646,108.02638
"450",19,66.5354330708661,147.70954
"453",28,70.8661417322835,138.89106
"455",21,61.4173228346457,105.82176
"456",19,68.8976377952756,127.86796
"459",18,66.1417322834646,114.64024
"460",19,65.3543307086614,136.68644
"464",18,64.5669291338583,132.2772
"465",22,67.7165354330709,110.231
"466",17,61.8110236220472,101.41252
"468",20,63.3858267716535,101.41252
"469",18,68.1102362204724,132.2772
"471",19,65.748031496063,127.86796
"476",18,67.7165354330709,132.2772
"477",20,68.8976377952756,132.2772
"478",18,66.5354330708661,116.84486
"480",20,68.8976377952756,125.66334
"481",21,63.3858267716535,121.2541
"484",20,68.1102362204724,160.93726
"485",20,67.7165354330709,125.66334
"486",19,64.9606299212598,141.09568
"487",28,67.3228346456693,125.66334
"488",19,73.2283464566929,145.50492
"490",20,62.992125984252,108.02638
"491",16,66.1417322834646,110.231
"492",19,64.9606299212598,123.45872
"493",20,64.1732283464567,149.91416
"495",19,64.9606299212598,121.2541
"497",25,66.9291338582677,114.64024
"498",20,64.9606299212598,132.2772
"499",19,66.9291338582677,110.231
"501",19,67.7165354330709,127.86796
"502",21,70.4724409448819,132.2772
"504",28,69.2913385826772,132.2772
"505",21,66.1417322834646,110.231
"508",21,66.1417322834646,116.84486
"513",22,66.1417322834646,127.86796
"518",17,68.503937007874,121.2541
"519",18,67.3228346456693,136.68644
"521",23,68.503937007874,136.68644
"522",20,61.8110236220472,125.66334
"523",18,64.9606299212598,125.66334
"525",19,67.3228346456693,132.2772
"526",28,66.9291338582677,143.3003
"528",23,67.7165354330709,152.11878
"531",28,67.7165354330709,110.231
"533",19,66.9291338582677,143.3003
"535",21,66.9291338582677,127.86796
"537",19,66.1417322834646,125.66334
"539",20,66.9291338582677,114.64024
"542",20,68.8976377952756,116.84486
"549",20,66.9291338582677,114.64024
"550",NA,65.3543307086614,112.43562
"551",17,64.1732283464567,108.02638
"554",18,66.9291338582677,116.84486
"556",21,65.748031496063,138.89106
"557",16,66.1417322834646,110.231
"558",20,66.9291338582677,121.2541
"560",20,68.1102362204724,121.2541
"566",16,64.9606299212598,108.02638
"567",19,68.8976377952756,167.55112
"569",23,67.7165354330709,141.09568
"570",20,64.9606299212598,105.82176
"573",22,67.3228346456693,123.45872
"575",20,70.0787401574803,127.86796
"576",21,66.5354330708661,143.3003
"578",19,62.992125984252,94.79866
"579",20,68.8976377952756,165.3465
"582",22,64.5669291338583,121.2541
"585",28,70.0787401574803,143.3003
"588",17,64.9606299212598,143.3003
"589",21,66.9291338582677,114.64024
"590",17,68.1102362204724,145.50492
"592",20,62.992125984252,121.2541
"593",19,66.9291338582677,143.3003
"594",21,67.7165354330709,114.64024
"601",18,67.3228346456693,119.04948
"602",19,64.5669291338583,121.2541
"604",21,66.1417322834646,132.2772
"605",21,66.9291338582677,116.84486
"608",19,66.1417322834646,121.2541
"612",18,66.1417322834646,125.66334
"614",18,63.7795275590551,127.86796
"615",22,64.5669291338583,141.09568
"618",19,62.992125984252,121.2541
"619",23,68.1102362204724,143.3003
"623",18,63.3858267716535,163.14188
"625",21,68.1102362204724,136.68644
"626",19,64.1732283464567,110.231
"627",22,63.7795275590551,132.2772
"628",20,66.9291338582677,132.2772
"630",20,64.1732283464567,105.82176
"631",19,68.1102362204724,132.2772
"632",18,60.6299212598425,147.70954
"635",19,66.9291338582677,138.89106
"636",25,68.1102362204724,138.89106
"639",21,61.4173228346457,105.82176
"641",21,68.1102362204724,116.84486
"644",18,66.5354330708661,116.84486
"645",18,64.9606299212598,121.2541
"648",21,65.748031496063,147.70954
"649",23,62.2047244094488,141.09568
"650",17,68.503937007874,123.45872
"654",22,64.9606299212598,114.64024
"656",19,68.503937007874,154.3234
"657",18,62.5984251968504,114.64024
"661",20,65.3543307086614,121.2541
"662",19,64.9606299212598,154.3234
"663",21,63.7795275590551,114.64024
"665",28,66.1417322834646,121.2541
"666",20,68.1102362204724,110.231
"667",20,64.5669291338583,132.2772
"671",23,66.9291338582677,132.2772
"672",22,64.9606299212598,125.66334
"673",28,65.3543307086614,132.2772
"674",22,66.9291338582677,114.64024
"676",25,64.9606299212598,165.3465
"678",28,64.5669291338583,169.75574
"679",23,63.7795275590551,143.3003
"680",21,72.8346456692913,154.3234
"681",25,62.992125984252,121.2541
"682",28,70.8661417322835,154.3234
"684",30,70.4724409448819,176.3696
"685",28,64.9606299212598,125.66334
"686",19,64.1732283464567,116.84486
"689",18,64.9606299212598,105.82176
"692",17,66.1417322834646,154.3234
"694",18,67.3228346456693,152.11878
"696",23,65.748031496063,154.3234
"697",18,66.1417322834646,136.68644
"698",20,66.1417322834646,167.55112
"699",19,64.1732283464567,154.3234
"700",20,66.9291338582677,110.231
"701",26,66.1417322834646,143.3003
"702",21,68.8976377952756,154.3234
"705",21,67.3228346456693,132.2772
